Waldort,WE-Typ,ST,BE,MA
053H1,WO,"ST STOE 71/72, im N örtl Torfmoos auf Blockwerk - vmtl wg Kondenswasser durch Kaltluft","BE Jgw/Zwibest +/- 10 J mit wirtschaftlichem Alter geschätzt, im N schwächer, im S stärker, KI stirbt im S ab","MA PL KI entnehmen, ZV"
053H2,WO,"ST unten tiefgründiger, Hangstandort","BE unten mehr KI FI - dort DG tlw bedrängt, oben mehr LH nahe Zugweg, geastet","MA tlw EDF 2006, DF zur Erhaltung der BA Vielfalt"
053I0,WO,"ST 10-25°, Quellschutzgebiet","BE Plenterwald artig; entlang Graben und auf Rücken, sehr abwechslungsreicher Waldort, viel Totholz",MA belassen
053J0,WO,,,
053K1,WO,,,"MA DF ZE, Mistelbefall!"
053K2,WO,,,
053K3,WO,"ST breiter karger Rücken, Expos SO bis NO, ein Blockwerk im O","BE ein BU FI TA, zlr Rob eiz TA im SO, eiz TA-UE an H2, eiz BU-UE v a an Tr-Weg","MA grtls EDF 2002, Schadholz 2018-2020, dicht dringende DF erforderlich"
053K4,WO,,,"MA DF dringend, da raschwüchsige DG"
053L1,WO,,,MA ende Dezennium AD
053L2,WO,"ST karger Oberhang mit nordländischem Charme, STOE 71/61, Expos O bis S, vl Heidelbeere","BE real bis 10 J älter, eiz LH LÄ, herzhafte DF 2010/2012, im N mehr Jgw",MA ZV belassen
053L3,WO,ST s karger steiniger Rücken,"BE eiz LH, DF 2010, sehr Stammzahlreich, bereits DG NVJ unter Schirm aufkommend",MA weiterer DF stärker eingreifen! Mistelbefall
053M1,WO,ST sanfte Kuppe im SO,"BE SO-Hälfte dichter mit BG 0,85 - dort mehr älterer TA-Jgw, NW-Hälfte lichter mit BG 0,35 - dort mehr jüngere KIVjg, einige alte Käferbäume, VJ teils stark verbissen","MA im SO JF, einige KI UE belassen"
053M2,WO,ST STOE 71/72,"BE bis 5 J jünger, ein BI-Zwibest","MA geastet, EDF 2005, DF 2021, ende Dez. letzte DF"
053M3,WO,ST eben neben Straße,"BE bis 5 J älter, kl S-Tl mit grtls KI BI",MA belassen nächstes Dez. DE
053M4,WO,ST nahezu eben,"BE Auff 2001, ein LH, LÄ-UE v a im NW, KI vor allem an Rückeweg","MA AG 2018, DE"
053M5,WO,,,
053M6,WO,,,
053N0,WO,,,
053O0,WO,,,"MA JF, DE Stangenholz"
053P1,WO,,"BE Auff/Erg 2002, südl Stein 2/A kl Zaunfläche mit grtls BU EI KI sowie ein TA - Hirmkesche Biotopfläche","MA AG 2012/2018, DE/DF LA freistellen"
053P2,WO,ST entlang Landesstraße,"BE Auff/Erg 2002, ein BU TA KI LÄ, ein ältere FI, GE-Horste - v a im O, vorwüchsiges LH auch im W, EI-UE an L-Str, Ganglsche Ökofläche nahe Stein 1/A",MA AG 2013/2021; DE Mischbaumarten fördern
053Q1,WO,,"BE Ganglsches Feuchtbiotop im N - dort v a AS, vl ES-Vjg","MA PL, LA QP fördern"
053Q2,WO,"ST STOE 81/72 im W - dort in lichten Partien vl Greiskraut Klebriger Salbei Brennessel Waldmeister, Totholz","BE ungleichalt, plenterwaldartig, Älteres nach W hin - dort auch mehr LH, Jüngeres im NO, im O grtls NH, ein HB, grtls BU HB EI lgs LStr, in Mitte lückig mit TA-LÄ-UE,","MA DF 2006/07, ZV 2015, DF/ZV"
05331,NG,,,
05332,NG,,,
05333,NG,,,
05334,NG,,,
054A1,WO,,,
054A2,WO,,,
054A3,WO,,"BE ein BI, LÄ, EI, AG beigemischt, geastet, EDF 2006","MA Schäden Wind 2020, DF 2021, DF Mitte Dez. freistellen von LH!"
054A4,WO,,,
054A5,WO,ST eiz Wollsäcke im O-Tl,"BE +/- 15 J, ein LH, KI-UE im W-Tl, 1 LÄ-UE im O-Tl - dort etw jünger mit mehr TA sowie kaum FI, s inhomogen","MA DF, gut gereinigte KI und TA freistellen, sonst belassen"
054A6,WO,"ST eben, durch Dichtstand kaum Vegetation am Boden","BE Auff 2002, einzelne KI SL, LÄ-UE","MA DP 2014, AG 2012/2019, DE 2019, DF ab mitte Dezenium, DE recht schwach ausgeführt"
054A7,WO,,,
054B1,WO,"ST im N verkrautet - Brombeere, im S mehr Heidelbeere und STOE 72","BE eiz BU-Zwibest, entlang Zugweg","MA EDF/DF 2006; Schäden Käfer und Wind 2018-2020; ZE, DF möglich"
054B2,WO,,"BE bis 5 J älter, S-Hälfte homogen mit grtls FI, NW-Hälfte mit mehr LH - TA grtls auch dort, tlw EDF/SR erfolgt, einzelne junge TA unter Schirm","MA DE/DF 2015 erfolgt, folge DF"
054B3,WO,,"BE ein HB, LH nur im O an Forstweg - sonst nur FI/KI","MA DE, KI sehr kleine Kronen"
054B4,WO,,,
054B5,WO,,,
054B6,WO,ST örtl Wollsäcke - v a im O des N-Tls,"BE im NW 4 alte QR an Straße, LH-reiche Vorwuchshorste wechselnd mit DG-Partien, ein FI Gruppen, dort auch mehr HB, einige TA, KI beigemischt, abwechslungsreicher Waldort","MA DP 2012, DG geastet; auf Maßkrugstärke der BU warten, dann DE"
054C1,WO,,,
054C2,WO,,,
054D1,WO,"ST tiefgründiger und frischer im W, steiler im S, örtl flächig Heidelbeere","BE bis 5 J älter, FI-Horst mit ein BU TA im W, tlw EDF 2002, im O Weiserzaun, da viel DG VJ unter Schirm","MA DF dringend! (Kronen), Mistelbefall entnehmen"
054D2,WO,"ST im N tiefgründiger sowie flacher, im S steiler sowie seichtgründiger","BE DG-AF aus 1977(Topfpflanzen), ein AG KI im S - dort geringwüchsiger, einzelne EI von DG stark bedrängt","MA EDF 2002, DG geastet, 2018 DF, ND LH freistellen!"
054D3,WO,,,
054E1,WO,,,
054E2,WO,,,
054E3,WO,,"BE DG AG grtls oben, ein KI/FI, AG tlw kümmernd, HT teils vital teils abgestorbener Wipfel durch Trockenstress",
054E4,WO,"ST karger Rücken, Weissmoos!, Geländekante etwa in unterem Drittel - darunter steiler - darüber flacher","BE unten mehr AG, LÄ in Mitte - mäßig vital, GK mit vitalem Eindruck, etw jüngere KI-FI-Partie im N an Zugweg, angebl ein AN",MA Trockenschäden und Holzwespenbefall! aufarbeiten
054E5,WO,,,"MA DP 2013, 2. DP DG überwächst KI und LH!"
054E6,WO,,"BE AF 2002, KI meist randlich, ein EI-BU-UE/Zwibestreste, dicht, DG mit vielen Harzgallen... KI fällt aus","MA AG 2019, DP 2013 erfolgt, DE!"
054E7,WO,,,
054F1,WO,"ST oben seichtgründiger mit STOE 72/71, unten tiefgründiger mit STOE 81/82 - örtl Verebnungen bei Bach","BE einige LÄ BU HB EI, LH meist nahe L-Str, ein HB-Zwibest, Jgw/Zwibest +/- 20J. teils schlechte H/D Werte, unten lichter","MA DF 2015 erfolgt, laufend Schadholz, ZV"
054F2,WO,"ST oben seichtgründiger mit STOE 72/71, unten tiefgründiger mit STOE 81, örtl Verebnungen lgs Bach mit STOE 82","BE -10/+5 J, Älteres eher im S, jüngere FI etwa in Mitte, KI-reicher Streifen mittig an Str, an F1 TA, FI und DG Verjüngung, im N strukturiert","MA EDF 2009 - grtls zu spät, DF 2011/2015, weitere DF Mitte ende Dez."
054F3,WO,,"BE ein BU Kegel eingeschlossen, einz. KI mit geringer Krone","MA DG geastet 2012/2018, mitte Dez. DE"
054G1,WO,"ST örtl Hohlwege - u a an Gastrasse, karger Standort","BE ein BU EI im SO, aus AD 2015, DG gute Zuwächse, LH stark verbissen und teils nur Knöchelhoch","MA EG mit DG 2015, Mitte Dez. DP prüfen"
054G2,WO,"ST STOE 81/72, örtl stk verkrautet","BE mehr KI LÄ im SO - mit guter Qualität, einzeln BU-EI-NVJ, viel TA VJ stark verbissen","MA laufend Schäden Käfer/Wind, JP, EG mit AH? bejagen!"
054G3,WO,,"BE ungleichalt, Kronen bedrängen sich","MA DE, TA fördern"
054H1,WO,"ST 2 Teile, im N Grabeneinhang","BE Ungleichaltrig, strukturiert",MA belassen
054H2,WO,,,
054H3,WO,,"BE etw mehr FI im SW nahe Zugweg, unten mehr BU - diese oft vorwüchsig, BU-EI-FI-UE, FI/KI oft bedrängt, s inhomogen","MA DP NH freistellen, bei LH Maßkrugstärke abwarten (DE nächstes Dezennium)"
054I0,WO,,,
054J1,WO,,,
054J2,WO,"ST STOE 71/72, örtl kalkhaltiger Löß, evtl ehem beweidet","BE FI oft zwiständig, BU-UE grtls im SW, ST - Schneeball Hartriegel Berberitze Liguster Pfarrerkapperl, im S Altholzrelikt, liegendes und stehendes Totholz","MA DF an Straße möglich, Altholz belassen"
054K1,WO,,,"MA JF im W, O verstraucht (KH Verbot.. Ausnahme? )"
054K2,WO,,"BE wirtschaftliches Alter, real angebl bis 20 J älter, dicht altes Käfernest","MA DF wichtig für LA/KI, mit geringem Massenanfall"
054L1,WO,"ST Altholzrelikt, Dauerwald","BE strukturiert und mehrschichtig, im N lichtere Partien mit mehr Jgw, im S grtls BU, viel liegendes und stehendes Totholz",
054L2,WO,,"BE +/- 10 J, ein BU, KI v a nahe Grenze - zw Stein 160 und 163, einiges Lagerholz sowie ungleichaltrige NVJ, mächtige Alt-BU bei Stein 155","MA Schäden Wind/Käfer 2015/16; ZV, JF ende Dezennium"
054L3,WO,,"BE +/- 10 J, im N HB-Altholz und viel Totholz, ein SL=HB/BI/BU, im S dicht mit geringen Kronen, viel aufkommende NVJ (HB/QP/FI/BU) unter Schirm teils stark verbissen",MA im S DF KI Kronenpflege
054M0,WO,,"BE einz. alt BU, einige EI verjüngen sich gut, leider starker Verbiss, im W mehr LH","MA vitale KI freistellen, Eichen belassen"
054N1,WO,ST STOE 71/72,"BE bis 5 J älter, GK-Oberhöhe bis über 20m - Mittelhöhe 18-19m, GK mit vitalem EIndruck","MA EDF 2009, DF vitale GK fördern!"
054N2,WO,ST STOE 72/71,BE ein EI,"MA EDF 2009, weitere DF/DE"
054N3,WO,,,"MA DF dringend, H/D teils schon bedenklich hoch"
054O1,WO,,"BE ein BU im N, Jgw -10/+20 J, zlr Faulbaum, Liguster etc., s inhomogen, Plenterwaldartig, ältere KI absterbend",
054O2,WO,,,
054O3,WO,"ST STOE 04/71/72, kalkhaltiger Löß, vmtl ehem landwirtschaftliche Fläche da terrassiert, örtl Berberitze - vmtl ehem beweidet","BE DG chlorotisch - vmtl wg Kalk, ein LH (AS/LI/QP/HB/BU), Sträucher ausgedunkelt, KI stark bedrängt",MA DE um Arten zu erhalten!
054P0,WO,"ST örtl STOE 61 - dort tlw Heißländen mit Katzenpfötchen, im O örtl kalkhaltiger Löß - dort Ästige Graslilie, KIBon 4-5","BE eiz BU AS LÄ EI, im O/SO älter, grtls DF vormals Bestand überbestockt(BG 1,30), Reduktion auf 200 Vfm/ha, weitere DF nötig, Mistelbefall im SO, VJ verbissen","MA DF 2010/2012, laufend Schadholzanfall, ND, ZV"
054Q0,WO,,,"MA DF, ZE"
054R1,WO,"ST Rücken im S, Graben im N","BE bis 10 J jüngere Partien in W-Hälfte, ein BU EI SL FI in Zwischenbestand unter teils Verjüngt, etw mehr FI im O","MA EDF 2009 im O, EDF 2005 im W, überbestockt im N, weitere DF sonst nur schwache BHD Entwicklung"
054R2,WO,,"BE ein EI-UE lgs Zugweg, geastet, viel BU und QP in Zwischenbestand","MA EDF 2005, DF 2011, weitere DF erforderlich LH fördern"
054R3,WO,,"BE ehem Zaunfläche aus 1980, EDF 2005, DF 2011, einzelne Gruppe mit Thuje und Birke","MA im W Schadholz aufgearbeitet, Rest DF, LH und Exoten erhalten!"
054T0,WO,,,
054X0,WO,,"BE KI/HB Altholz mit einzelnen QP, KI teils ausfallend, HB meist unterständig und protzig, LH VJ an den Rändern",MA LI qualitativ geringe KI/HB entnehmen
05431,NG,,,
05441,NG,,,
05442,NG,,,
05443,NG,,,
055A1,WO,"ST natürliche Bestandesumwandlung in EI HB Wald, LRV","BE S2 +/- 10 J, ST = Liguster Hasel Weißdorn Schneeball(wollig) Hartriegel(rot) Rose Felsenbirne, ein Wildwechsel, vl Totholz meist KI",MA Anschauungsobjekt Sukzession/Klimawandel
055A2,WO,"ST STOE 71/61, Gneis mit Donauschotter und tls Löß überlagert, oben flachere Kuppe, unten etw steiler, aktive Rehfütterung der Nachbarn an Grenze","BE Mittelschicht +/- 20 J, einz. Elsbeeren; KI fällt aus, ST = Liguster Hasel Weißdorn Schneeball(wollig) Hartriegel(rot), Rose, Felsenbirne",MA ältere KI nutzen
055A3,WO,,,"MA KI nutzen, fallen zusehends aus"
055B1,WO,"ST STOE 71/61, Gneis mit Schotter und tls Löß überlagert, ein tls tief eingeschnittenen Gräben, Wildwechsel, Äskulapnatterbegegnung","BE Unterschicht +/- 10 J, unten mehr HB, Jüngeres eher an B2, ST = Hasel Liguster Weißdorn Schneeball Hartriegel(rot); SL= LI/MB/KB/QP",
055B2,WO,,,
055C1,WO,ST an Grenze aktive Rehfütterung (beschickt im Juli!),"BE örtl mehr HB, Unterschicht +/- 10 J, ST = Hasel Liguster Weißdorn Schneeball(wollig) Hartriegel(rot) etc., mehr Jüngeres und Sträucher nach S hin, im N Zaunfläche","MA LI 2014, Zaun 2014, DP 2018; ZV KI entnehmen"
055C2,WO,,,
05551,NG,,,
05591,NG,,,
057A0,WO,,"BE DG nach mechanischer Kulturvorbereitung, DG geastet, jüngerer Streifen mit ein FI/QP im SO",MA DE 2013; etwas Schäden Käfer/Wind; DF QP unbedingt erhalten gute Qualität!
057B1,WO,ST Expos W/O auf sanftem Rücken,"BE im N angebl etwa 20 J jünger, lgs Stein 36-44 angebl etwa 30 J jünger, zlr EI, bei Stein 34 FI-Horst, einz TA im SW, mehr LH, flächig vjgt teils bereits Dickung, KI etw lichter im SW - Mistelbefall, teils geringwüchsig","MA DF 2011/13/17 zu kleinen Teilen; laufend Schadholz 2015/2017-21; ZV, ende Dezennium einen teil RM/SB"
057B2,WO,,,"MA DE 2016, DF mitte Dezennium, Kronenpflege"
057B3,WO,,,"MA DE 2016, DF mitte Dezenium"
057C0,WO,"ST STOE 71/61, etw flacher im O, etw steiler im W","BE +/- 5 J, älter von S nach N, ein EI HB BI, mehr LH am Unterhang, flächig verjüngt mit erfreulich viel QP! KI teils absterbend","MA DF 2011, Schäden Käfer 2012; weitere DF zur Kronenpflege bei KI notwendig"
057D0,WO,,"BE ein LI, KI grtls unter Str, viel QP/HB/LI NVJ",MA DF dringend nach Mastjahr!
057E0,WO,,,
057F1,WO,ST am Hangfuß steiler mit Expos NW sowie STOE 81,"BE ein ER HB Bachbegleitend, blößig durch Schadereignisse, KI BU am Hangfuß, FI hier standörtlich auch weiterhin tauglich","MA Auff FI/Schwarzerle/AH/UL, DG hier nicht da zu hohe Luftfeuchte"
057F2,WO,,,
057G1,WO,,,
057G2,WO,,,
05711,NG,,,
05751,NG,,,
05752,NG,,,
05753,NG,,,
058A1,WO,,"BE ein LÄ im NW, BU westl Stein 36, zlr FI-Althölzer an Grenze - v a bei Stein 32-35, BU-KI-Altholzhorst im NW nahe Zugweg, im S lichter mit mehr Jgw, Jgw +/- 10 J, teils ausfallend, viel Tannenkeimlinge","MA belassen, ZV"
058A2,WO,,,"MA mögliche ND in dichtere Teilen: TA unbedingt erhalten, vitale fördern"
058A3,WO,,"BE +/- 5 J, nahezu reine FI oberhalb Stein 25 bis rauf zum Zugweg, im S ein ältere KI, ein BI BU SL, RE-Horste sowie BU-UE unterhalb an A5, DG meist eng begründet 2x2m - daher relativ feinastig","MA grtls DE 2005, DF 2011/14, AG 2015, weitere DF!"
058A4,WO,,,"MA AG 2012, DE 2013; DF Kronenpflege"
058A5,WO,,"BE +/- 5 J, eiz TA/FI; aus Schadholznutzung 2017/18","MA AF 2020, belassen, bejagen!"
058A6,WO,,"BE ein BU HB, gezäunt, dicht Maßkrugstärke abwarten, dann DE","MA Schutz gegen Wild 2013; AG 2017, weitere AG mitte Dez. notwendig"
058B1,WO,,,MA DF
058B2,WO,,,"MA DP 2013, AG 2016, DE in Straßennähe"
058B3,WO,,"BE LÄ oben, mehr SL unten, FI-KI-Vorwuchsgrp an Str, LÄ-BU-UE","MA AF 2006, DP 2013, AG 2016/19; DE ab Mitte Dezennium"
058C1,WO,,"BE etw jünger im NO, etw älter nach S hin, FI TA am N-Rand, eiz LÄ BI, aufkommende NVJ","MA grtls EDF 2005, DF Restflächen 2011, DF Kronenpflege bei KI, TA fördern"
058C2,WO,,"BE ein SL =BI, BU; einige KI, dichter im SW, lichter etwa in Mitte","MA geastet, DE 2004/05, DF QP fördern"
058C3,WO,,"BE jüngerer Streifen etwa in Mitte - dort dichte AG mit bescheidenem Höhenwachstum von nur 20-30cm jährlich, älter v a im W und SW - dort lichter, im W einige LA, kein LH!","MA AG s eng begründet - Verband 1x1m bis 1,5x1m; DE 2012/13/18; laufend Schadholz; ZV Käfergefahr"
058C4,WO,,"BE SL=KB, BI, Aspe, BU; ein KI eiz FI, dicht, Eichen haben HB bereits überwachsen","MA DP 2006, AG 2017, DE jedoch Stammbeschattung erhalten"
058D1,WO,"ST nahezu eben an (2), sanfte Kuppen und Mulden, karger im NW (mögliche Dauerwald Fläche)","BE teils Plenterwaldartig; mehr LÄ im NW, VJ inkl Zwibest -10/+15 J, mehr TA-Jgw im W, ähnlich H1","MA Laufend Schadholz 2017/20/21, ZV, LI: Gassennetz erweitern"
058D2,WO,"ST s karg, viel Heidelbeere","BE Alter geschätzt, flächig verjüngt, SL= BI/QP , KI teils geringe Kronen und Zwischenbestand ausfallend",MA ND: vitale KI fördern
058D3,WO,,"BE GK im S, KO und TH im N, BHD sehr differierend","MA DG geastet, EDF 2004/05, DF 2011, DF :DG, Mischbaumarten fördern"
058D4,WO,,"BE ein EI an TR-Weg, teils sehr dicht",MA DE
058D5,WO,,,"MA DP 2015 erfolgt, belassen"
058E1,WO,,,
058E2,WO,,"BE +/- 5 J, FI-TA-NVjg bis 5-10 J älter - v a im O, zlr BI im W, LÄ-UE, recht inhomogen","MA EG DG 2004; DP 2013, AG 2018/20; DE: Artenreichtum erhalten"
058F1,WO,ST Rücken und Gräben im O,"BE FI meist zwiständig, eiz LH LÄ, dicht","MA DF 2011, weitere DF zur Kronenpflege (KI) dringend"
058F2,WO,,"BE ein FI BU EI, ein KI/DG/FI-Vjg teils verschlagen, dichter im S, lichter nach NO hin, teils verlichtete Kronen",MA DE Schneeschäden 2006/08; mögliche DF: Negativauslese gut bekronte KI fördern
058F3,WO,,"BE BU KI eher oben, DG oben weitständig sowie grobastig, DG unten dichter sowie feinastiger, QP teils im Zwischenbestand durch Dichtstand nur geringwüchsig","MA DE 2005, DG geastet, DF noch erforderlich"
058F4,WO,,"BE unten ein TA - diese tls mit Trieblaus, DG im Verband 3x1,5 bis 3x2, RE in Gruppe","MA erste Astung erfolgt, DE dringend"
058G1,WO,,"BE etw jünger an i2, ein FI besonders an E0, BU-UE - v a in den Felspartien, BI-Horste sowie lichter oberhalb Jhtt, viel NVJ, BU teils verbissen, KI teils gute Kronen, viel Totholz","MA grtls DF 2011, 2014 nur getinger Teil, Schäden Käfer/Wind 2017/19/20; weitere DF Kronenpflege"
058G2,WO,ST örlt felsig,BE ein SL=BU BI QP,"MA geastet, EDF 2004/05, DF 2011, weitere DF"
058G3,WO,,,
058H1,WO,,"BE im N mehr TA, im S grtls KI LÄ sowie dichter, Jüngeres inkl Zwibest -10/+25 J, örlt plenterwaldartig, einz BU",MA Schadholz 2015-2017 und 2020; LI: Ende Dezennium Gassen anlegen
058H2,WO,,"BE TH im N, DG relativ feinastig da enger Pflanzverband - etwa 2x2m, vitaler Eindruck","MA DG geastet, DE 2004/05, DF 2011, ende Dez. DF letzter Eingriff vor EN"
058H3,WO,ST STOE 72/81,"BE TA Bestand, ungleichalt +/-15J., gestuft, TA-Baumhölzer an Grenze - v a zw Stein 12-15, im O mehr jüngere Anteile, örtl TA-Trieblaus","MA DP 2016, Schäden Käfer 2016; DE, hohen TA Anteil erhalten"
058H4,WO,,,"MA DP 2016, AG 2020; DG reiche Teile DE"
058H5,WO,,,"MA DP 2012, AG 2016, DE"
058H6,WO,,,"MA DP 2015, AG 2015/19, DE mitte Dezennium"
058I1,WO,"ST karger Rücken, STOE 71/61, eigtl U140, U120 - Kompromiß zur nächsten Forstgeneration mit DG, im O vergraste Lücken","BE ein FI BU EI, im O bis 40% LÄ, in Mitte geschlossen, im O sehr licht, Jüngeres inkl Zwibest +/- 10 J, nur noch geringe Zuwächse bei LA/KI","MA LI im W, O stabil, belassen Lücken mit DG EG"
058I2,WO,,,"MA AG 2012/17, DP 2015; DE"
058J0,WO,,,
05831,NG,,,
05832,NG,,,
05833,NG,,,
059A1,WO,,"BE FI grtls lgs (2), LÄ Horste etwa in Mitte - oberhalb von 12/2, kl Lücke bei Stein 42, im N an Graben viel TA NVJ! leider auch Verbiss","MA DF 2011, laufende Schäden Käfer/Wind; DF Kronenpflege bei KI"
059A2,WO,"ST oben etwas steiler sowie seichtgründiger, unten flacher mit STOE 81","BE gestuft, eiz TA, gute Einzelstammstabilität","MA DF 2011, belassen"
059B1,WO,,,
059B2,WO,,,
059B3,WO,,,
059B4,WO,,,
059C1,WO,"ST wechselnde Neigung, im N Geländeabsatz",,MA AG erfolgt; DE Mischbaumarten fördern
059C2,WO,,,"MA DP 2015; DE ab Mitte Dezennium; QP freistellen, KI teils schon geringe Kronen, Zaun abbauen"
059D1,WO,,"BE Stzlred 1990, LÄ kümmernd/ausgefallen, GK auffallend vital","MA DE 2009, weitere DE"
059D2,WO,,"BE reine DG im N, starke DM Schwankungen bei DG","MA DE 2004, DF"
059D3,WO,,,
059D4,WO,,,"MA DE erfolgt, weiter pflegen DF"
059E1,WO,,"BE real bis 15 J älter, stadialer Eindruck noch bis 30 J jünger, im N noch dichter, Mistelbefall und teils absterbend, schöne KI NVJ, einzeln auch BU/TA/DG NVJ aufkommend","MA DF 2005, Schäden Käfer 2018/20; DF/JF Negativauslese"
059E2,WO,,,
059F0,WO,,"BE W-Hälfte besserwüchsig mit grtls DG, mittig bis 5 J älterer DG-Streifen, 5 J jger im O, DG Kronenverlichtung - bis 30% AG im SO, zlr EI BI im Zwischenbestand","MA geastet, DE 2002-05; laufend Schäden Käfer 2017-20; DF, ZV"
059G1,WO,,,"MA Laufend Schadholz, DF, ZV"
059G2,WO,,"BE BU-UE im NW und an oberer Str, DG teils verlichtete Kronen und kämpft mit Standort","MA DP 2014, AG 2017, Schäden Käfer 2018; DE Mischbaumarten fördern"
059G3,WO,,"BE EI-UE, LH teils jünger, hoher QP Anteil, DG tut sich mit Standort schwer","MA Erg DG 2004, DP 2015; AG 2018; PA bei LH"
059H1,WO,,,
059H2,WO,,,MA AG 2017; DE
059H3,WO,,"BE an Straßenrand einige ältere KI/AS/EI, LH meist noch zu gering für DE",
059H4,WO,,"BE Erg/Auff 2004, im S etw älter, im N etw jünger, Ki grtls im N, LH von DG überwachsen, in Einzelmischung","MA DP 2017, AG 2020; ende Dez. DG prüfen ob DE"
059I1,WO,,,MA 2017-2020 Schäden Käfer an KI ; belassen
059I2,WO,,,
059I3,WO,"ST örtl Verebnungen, im N frischer mit STOE 72 - dort auch ein Gräben","BE ein HB ZIPA, EI-UE; Schweinchenhabitat, QP grobastig bei nächster AG mitasten!","MA Auff/Erg 2001; DP 2012/15/17, AG 2018, DE LH fördern"
059I4,WO,,,"MA DP 2013/15 AG 2017/20, DE ende Dezennium prüfen"
059I5,WO,,,"MA DP 2014, AG 2014/20; DE mitte Dezennium"
059J0,WO,,,
059K1,WO,"ST Graben in Mitte, tiefgründig am Unterhang, einige Lücken mit Brombeere","BE DG meist jünger, ältere FI-Partien im SW und im N lgs Graben, BU-EI-UE, recht inhomogen","MA EG 2001; DP 2013/17, AG 2017, weitere AG QP! DE ende Dez prüfen"
059K2,WO,,"BE reine BU-Horste im NO - dort auch reiner etw älterer Aspenhorst, nahezu reine DG im W","MA AF/EG 2001, DP 2013/17, AG 2017; DE"
059K3,WO,,"BE bis 5 J jünger, zlr BI, ein Protzen, ein EI-UE, LH oft jünger und mindere Qualität","MA Erg 2004, DP 2013, AG 2016, DE ab mitte Dezennium, AG QP!"
059L0,WO,"ST STOE 71/72 im NO, Rücken etwa bei Stein 55 - nahezu eben",BE örtl mehr LH - sonst grtls zwiständig,"MA DE 2004, DG geastet, DF! QP fördern"
05931,NG,,,
05932,NG,,,
05941,NG,,,
